ID,Area,Feature,User Story,Expected Behavior,Code Refs,Status,Test Notes
TERM-11,Terminal,Cursor blink,"As a user, I want my cursor to blink so I can locate it",Local cursor blinks 0.5s on/off (1.0s period); blink phase quantized to 500ms for draw gating,CursorOverlay.swift blinkPeriod; TerminalRenderer.swift blinkPhase,Pass,verified static
TERM-12,Terminal,Metal GPU rendering,"As a user, I want smooth 60fps terminal rendering","MTKView with 3-4 render passes (bg quads, glyphs, cursor blocks, cursor text); draw gated on grid epoch + mutation seq + blink phase",TerminalRenderer.swift draw; MetalTerminalView.swift,Pass,verified static
TERM-13,Terminal,Glyph atlas,"As a user, I want crisp glyphs incl emoji/ligatures/wide chars",CoreText rasterizes glyphs into 2048x2048 alpha-8 atlas with tight bbox + bearings; shelf packer; invalid scalars -> U+FFFD,GlyphAtlas.swift rasterize/reserve,Pass,verified static
TERM-14,Terminal,CJK / wide char rendering,"As a user, I want CJK and wide emoji to display without misalignment","width-0 cells mark wide-glyph trailing half; bg quad emitted, text skipped; selection/copy skip width-0",core utf8.zig width; grid.zig putCodepoint; TerminalRenderer.swift,Pass,verified static
TERM-15,Terminal,Contrast adjustment,"As a light-theme user, I want fixed-color tool text to stay readable","Per (fg,bg) pair, if contrast < floor (3.0) fg shifted toward black/white preserving hue; memoized",TerminalRenderer.swift contrastAdjustedForeground,Pass,verified static
TERM-16,Terminal,Adaptive block background remap,"As a light-theme user, I want dark UI bars to adapt to my theme",Neutral blocks whose polarity opposes theme remapped to 16% bg->fg blend; colored blocks pass through; memoized,TerminalRenderer.swift themeAdaptedBlockBackground,Pass,verified static
TERM-17,Terminal,Grid resize,"As a user, I want the grid to follow window resizing","Drawable size change recomputes rows/cols, emits onResize; grid resized preserving top; PTY resized; 10pt bottom corner inset",MetalTerminalView.swift syncRendererGridSize; TerminalRenderer.swift recomputeGrid; core grid.zig resizePreservingTop,Pass,verified static
TERM-18,Terminal,Input blocked beep,"As a view-only peer, I want feedback when my input is blocked","When inputEnabled false, keystrokes/paste/scroll-input play NSSound.beep()",MetalTerminalView.swift inputEnabled guards,Pass,verified static
TERM-19,Terminal,Metal-unavailable fallback,"As a user on old hardware, I want a message not a crash",TerminalRenderer init returns nil if no Metal device; makeNSView substitutes explanatory NSTextField,MetalTerminalView.swift makeNSView; TerminalRenderer.swift device guard,Pass,verified static
INPUT-01,Terminal,Key encoding to PTY,"As a TUI user, I want arrows/fn/modifiers to send correct escape sequences",keyDown routes non-Cmd keys to PTY with xterm sequences; Ctrl->C0; Option->ESC prefix; Shift+Return CSI-u; Shift+nav scrolls,MetalTerminalView.swift encodeKey/TerminalKeySequences,Pass,verified static
INPUT-02,Terminal,Readline-style nav shortcuts,"As a user, I want Cmd/Option arrows to move by line/word at the prompt","Cmd+Right->Ctrl-E, Cmd+Left->Ctrl-A, Opt+Right->Meta-f, Opt+Left->Meta-b, Cmd+Delete->Ctrl-U",MetalTerminalView.swift encodeKey,Pass,verified static
INPUT-03,Terminal,Kitty keyboard protocol,"As a Claude Code/codex user, I want Shift+Enter disambiguated","If grid.term.kittyKeyboardFlags bit0 set, Shift+Return sent as CSI 13;2 u; else CR or bracketed newline",ContentView.swift; core grid.zig kittyKeyboard,Pass,verified static
INPUT-04,Terminal,Terminal capability queries,"As an app in the terminal, I want DA1/Kitty query replies","takeQueryResponse drains DA1 (CSI?62;22c) and kitty CSI?u replies, routed back to PTY",ContentView.swift onOutput; core grid.zig queueResponse/takeResponse,Pass,verified static
THEME-01,Themes,Built-in theme selection,"As a user, I want to pick from many themes via menu/prefs","~17 presets (Dracula, Nord, Solarized, TokyoNight, Gruvbox, etc.) define bg/fg/16-color palette/selection/cursor; applies immediately + persists",TerminalTheme.swift allBuiltin; App.swift theme picker,Pass,verified static
THEME-02,Themes,Custom theme,"As a user, I want a custom theme from my own bg/fg hex",Custom factory uses caller bg/fg + default ANSI palette; selection blended 25% fg->bg; custom_bg/custom_fg hex inputs in prefs,TerminalTheme.swift custom; App.swift appearance tab,Pass,BUG-21; fixed
THEME-03,Themes,Import .claudetheme,"As a user, I want to import .claudetheme files",TOML subset [ansi] parsed for name/bg/fg/cursor/selection/palette0-15; missing brights filled from normals; defaults for gaps,ThemeImporter.swift loadClaudeTheme,Pass,verified static
THEME-04,Themes,Import .itermcolors,"As a user, I want to import iTerm2 .itermcolors",XML plist parsed for Background/Foreground/Cursor/Selection/Ansi0-15; NaN/inf channels clamped to avoid crash,ThemeImporter.swift loadItermColors,Pass,verified static
THEME-05,Themes,Theme library auto-discovery,"As a user, I want themes dropped in the themes dir to load automatically",ThemeLibrary enumerates ~/.config/claudetogether/themes/*.claudetheme/.itermcolors; dir created if missing; bad files skipped; FSEvents reload,ThemeLibrary.swift load/startWatching,Pass,BUG-16; fixed
THEME-06,Themes,Theme-aware UI chrome,"As a user, I want popups/find/alerts to match my theme",Popup surface/fg/border/accent/shadow derived from theme; window chrome + NSAppearance(light/dark) set from theme.isDark,TerminalTheme.swift popup props/nsAppearance; ContentView.swift WindowThemeSetter,Pass,verified static
THEME-07,Themes,Font size adjust,"As a user, I want to change font size live","Cmd+/Cmd-/Cmd0 change size (8-48, default 13); persisted; rebuilds atlas + re-measures grid",App.swift font size cmds; ContentView.swift; TerminalRenderer.swift setPointSize,Pass,BUG-24; fixed
THEME-08,Themes,Custom font,"As a user, I want my own monospace font",Prefs PostScript name field with validity check; empty->system monospace; atlas rebuilt,App.swift font field; TerminalRenderer.swift setFontName; GlyphAtlas.swift,Pass,verified static
THEME-09,Themes,Ligatures,"As a developer, I want programming ligatures",ligaturesEnabled (default true); greedy longest-first match of ligature sequences rendered as single multi-cell glyph; toggle in prefs,TerminalRenderer.swift ligatureSequences; App.swift toggle,Pass,verified static
SEARCH-01,Terminal,Find bar (Cmd+F),"As a user, I want to search terminal output",Cmd+F opens find bar; case-insensitive scan of visible rows; matches highlighted amber(dark)/brown(light); ESC/X closes,SearchState.swift scan; FindBar.swift; App.swift find,Pass,BUG-10; fixed
SEARCH-02,Terminal,Find next/prev,"As a user, I want to navigate matches","Cmd+G next, Cmd+Shift+G previous; current match highlighted distinctly; disabled when no matches",App.swift findNext/findPrev; SearchState.swift selectNext/selectPrev,Pass,BUG-10; fixed
TAB-01,Tabs,New tab (Cmd+T),"As a user, I want multiple shells in one window",Cmd+T opens new tab with PTY at root (or home); host broadcasts TabOpen,App.swift newTab; ContentView.swift openNewTab,Pass,BUG-07; fixed
TAB-02,Tabs,Close tab (Cmd+W),"As a user, I want to close a tab","Cmd+W closes active tab, terminates PTY, frees state, broadcasts TabClose; closing last tab ends session",App.swift closeTab; ContentView.swift closeTab,Pass,"BUG-08,BUG-14 fixed & re-verified"
TAB-03,Tabs,Select tab 1-9,"As a user, I want to jump to a numbered tab",Cmd+1..9 focus nth tab; menu lists 1-9 even if more exist,App.swift; ContentView.swift selectTab,Pass,verified static
TAB-04,Tabs,Next/prev tab,"As a user, I want to cycle tabs","Cmd+Shift+] next (wraps), Cmd+Shift+[ prev (wraps); clears unread, broadcasts focus",App.swift; ContentView.swift nextTab/prevTab,Pass,verified static
TAB-05,Tabs,Tab reordering (host),"As a host, I want to drag tabs to reorder",DragGesture tracks offset; slot-swaps when edge crosses neighbor midpoint; commits order on release; host-only; respects pin boundary,TabStripView.swift dragGesture,Pass,verified static
TAB-06,Tabs,Tab pinning (host),"As a host, I want to pin important tabs","Pinned tabs move to leading group, show pin glyph (no close button), drag-blocked across boundary; host-local only",TabStripView.swift isPinned; ContentView.swift togglePin,Pass,verified static
TAB-07,Tabs,Tab activity indicator,"As a user, I want to see which background tabs have new output",Background tab receiving output sets hasUnreadOutput -> animated ellipsis; clears on focus or 1.5s idle,TabStripView.swift AnimatedEllipsisView; ContentView.swift,Pass,verified static
TAB-08,Tabs,Tab title resolution,"As a user, I want tab titles to show the running process/dir",Polls PTY 750ms; foreground pgrp via TIOCGPGRP; falls back to abbreviated CWD; broadcast on change,ContentView.swift tab title polling,Pass,verified static
TAB-09,Tabs,Per-tab presence dots,"As a participant, I want to see who is viewing each tab","Host relays tabViewing(identity,tabId); peers render up to 3 colored viewer dots + '+N' overflow on each tab",TabStripView.swift PresenceDotsView; SessionManager.swift sendTabViewing; core frame tabViewing,Pass,verified static
PANE-01,Panes,Split pane horizontal (Cmd+D),"As a host, I want side-by-side shells in a tab","Cmd+D creates new PTY+paneId, broadcasts PaneOpen horizontal; host-only; disabled if already split or raw mode",App.swift splitH; ContentView.swift,Pass,BUG-06; fixed
PANE-02,Panes,Split pane vertical (Cmd+Shift+D),"As a host, I want stacked shells in a tab","Cmd+Shift+D creates new PTY+paneId, broadcasts PaneOpen vertical; host-only; same disable rules",App.swift splitV; ContentView.swift,Pass,BUG-06; fixed
PANE-03,Panes,Close split pane (Cmd+Shift+P),"As a host, I want to collapse a split","Cmd+Shift+P terminates split PTY, removes pane, broadcasts PaneClose; disabled unless split",App.swift closeSplit; ContentView.swift,Pass,verified static
PANE-04,Panes,Focus next pane (Cmd+Opt+Tab),"As a user, I want to switch focused pane",Toggles activePaneIndex 0/1; keystrokes route to focused pane; disabled unless split,App.swift focusNextPane; ContentView.swift,Pass,BUG-11; fixed
PANE-05,Panes,Peer split-pane display,"As a peer, I want to see host's splits",PaneOpen creates display-only pane (pty nil); PanePtyOutput feeds split grid; paneCursorPos renders peer cursors,ContentView.swift pane handling; SessionManager.swift paneCursorPos,Pass,BUG-10; fixed
EDITOR-01,Editor,Open file via /edit,"As a user, I want to open a file in the collaborative editor","Committing '/edit <path>' opens editor, broadcasts EditorOpen w/ CRDT snapshot; error if already open or invalid path; deactivates shared input",ContentView.swift interceptEditorCommand; SessionManager.swift,Pass,verified static
EDITOR-02,Editor,CRDT collaborative editing,"As collaborators, we want to edit a file together conflict-free",RGA CRDT; local insert/delete -> ops broadcast (editorOp); remote ops applied; caret/selection rebased on CRDT ids across concurrent edits,EditorCore.swift; EditorController.swift; core crdt.zig,Pass,BUG-01; fixed
EDITOR-03,Editor,Syntax highlighting,"As a user, I want code highlighted by language","Language detected from extension (15 langs + Makefile/Dockerfile/dotfiles); tokenized, spans colored; >500KB skips; cached (8 entries) + 50ms debounce",SyntaxHighlighter.swift; EditorController.swift,Pass,verified static
EDITOR-04,Editor,Smart auto-indent,"As a user, I want new lines auto-indented",Return inserts newline + leading whitespace of current line + one unit if line ends with {([:; unit detected or 4 spaces,EditorController.swift autoIndent,Pass,verified static
EDITOR-05,Editor,Format with Prettier (Opt+Cmd+P),"As a developer, I want to format the editor file",Opt+Cmd+P runs 'prettier --write' on file (host only); replaceText with output; notice if prettier missing,App.swift formatPrettier; ContentView.swift,Pass,"BUG-01,BUG-02,BUG-32; fixed"
EDITOR-06,Editor,Save (Cmd+S),"As a user, I want to save the document","Cmd+S requestSave; peer sends EditorSave, host writes to disk + creates dirs, increments rev, broadcasts EditorSaved; dirty flag cleared; status shows saved r<N>",MetalEditorView.swift; EditorController.swift; ContentView.swift saveEditor,Pass,verified static
EDITOR-07,Editor,Close (Cmd+W) with dirty prompt,"As a user, I want to be warned before closing unsaved changes","Cmd+W requestClose; if dirty, NSAlert Save/Close-without-saving/Cancel; broadcast close on confirm",MetalEditorView.swift; ContentView.swift arbitrateCloseEditor,Pass,verified static
EDITOR-08,Editor,Undo/Redo,"As a user, I want to undo/redo edits","Cmd+Z undo, Cmd+Shift+Z redo; up to 1000 entries; caret/selection restored; inverses applied",EditorController.swift undo/redo,Pass,"BUG-02,BUG-13; fixed"
EDITOR-09,Editor,Cursor movement,"As a user, I want full caret navigation",Char/word/line-start-end/doc-start-end/vertical(col-preserving)/page; Shift extends selection; Cmd+A select all,EditorController.swift move*; MetalEditorView.swift,PARTIAL,"BUG-26 deferred (vertical wrap movement, documented)"
EDITOR-10,Editor,Remote cursors and selections,"As a collaborator, I want to see peers' carets/selections",Remote cursors at CRDT-anchor positions in roster color; multi-cursor stacking with nested insets; selection bands alpha 64; cursor text contrast,EditorController.swift; EditorGridModel.swift; EditorRenderer.swift,Pass,verified static
EDITOR-11,Editor,Read-only mode for view-only peers,"As a view-only peer, I want to view but not edit",isReadOnly drops mutating intents; navigation/selection still work; set from access mode,EditorController.swift; ContentView.swift syncEditorReadOnlyState,Pass,verified static
EDITOR-12,Editor,Text wrapping + viewport,"As a user, I want long lines wrapped and caret kept visible",Text projected into cols x rows grid with wrap; ensureLocalCaretVisible scrolls to keep caret in view,EditorGridModel.swift,PARTIAL,"BUG-26 deferred (vertical wrap movement, documented)"
EDITOR-13,Editor,Editor status line,"As a user, I want to see editor count and save state",Header shows path + 'N editor(s) - unsaved changes|saved r<N>'; Save/Close buttons themed,EditorHost.swift,Pass,verified static
AC-01,Autocomplete,Editor word autocomplete,"As a user, I want word completions from the document","Word >=2 scalars and caret not inside word triggers EditorWordIndex.prefixMatches; up to 8, shortest-first; excludes exact prefix; dismiss on Escape/selection",EditorController.swift; EditorWordIndex.swift; AutocompletePopover.swift,Pass,"BUG-19,BUG-20; fixed"
AC-02,Autocomplete,Ghost text inline suggestion,"As a user, I want to preview the top completion inline",Suffix of top suggestion shown dimmed (0.35); Tab/Right accepts (inserts suffix only); Esc dismisses,EditorHost.swift; MetalEditorView.swift,Pass,BUG-20; fixed
SI-01,Shared Input,Shared input line,"As a participant, I want to co-edit the command line","When running and not raw mode, multi-line input block floats above prompt; CRDT-merged text; per-participant colored carets; host authoritative, peers optimistic",ContentView.swift shared input; SharedInput.swift,Pass,verified static
SI-02,Shared Input,Enter commits,"As a user, I want Enter to run the line","commit op extracts text, deactivates shared input, sends committed text to host PTY",SharedInput.swift commit; ContentView.swift,Pass,verified static
SI-03,Shared Input,Shift+Enter newline,"As a user, I want multi-line prompts",Shift+Return inserts literal newline (insertText \\n) without committing; line stays active,SharedInput.swift; ContentView.swift,Pass,verified static
SI-04,Shared Input,Motion/edit keys,"As a user, I want to navigate/edit the shared line","Arrows, Home/End, Ctrl+B/F, Alt+B/F, Ctrl+U, Ctrl+W/Alt+Backspace supported via SharedInputRequest",ContentView.swift sharedInputRequest; SharedInput.swift,Pass,verified static
SI-05,Shared Input,Tab completion,"As a user, I want file/command completion in shared input","Tab shows fs/command matches; single match autocompletes; multiple -> LCP completion + hint popup; merges CommandHistory; host CWD from PTY, peer from snapshot",ContentView.swift completion logic; CommandHistory.swift,Pass,verified static
SI-06,Shared Input,Interrupt (Ctrl+C),"As a user, I want to interrupt the running command",Ctrl+C sends SIGINT to active PTY (host); clears input box tracker; syncs overlay,ContentView.swift interrupt,Pass,verified static
SI-07,Shared Input,Prompt detection/anchor,"As a user, I want shared input to not edit prompt chars","On activation scans row for '% ','$ ','# ','> '; sets anchorCol after prompt; pre-existing text extracted as initialText (Ctrl+U on commit); skipped on fresh respawn",ContentView.swift shellPromptEnd,Pass,verified static
SI-08,Shared Input,Transient output preservation,"As a user, I want shared input to survive shell output bursts",PTY output while active deactivates and arms 750ms timer; reactivates if quiet; resets on more output (anti-flicker),ContentView.swift,Pass,verified static
SI-09,Shared Input,Multi-line paste placeholder,"As a user, I want to expand pasted multi-line text just in time",Multi-line paste shows placeholder; Enter expands (forwards bytes); arrows move cursor around it; backspace deletes without expanding,ContentView.swift placeholder expansion,Pass,BUG-12; fixed
SI-10,Shared Input,Foreground app input-box sync,"As a Claude Code user, I want the shared block to match the app's input box height","When app advertises kitty protocol, forwards Shift+Return structural lines to grow box / backspaces to shrink; host-only; keyed by tabId",ContentView.swift sharedInputAppBoxExtraLines,Pass,verified static
SI-11,Shared Input,Join snapshot,"As a joining peer, I want the current shared-input state","On hello, host broadcasts SharedInputSnapshot (text, revision, cursors, CWD); peer applies; also after commits and focus changes",ContentView.swift handleSharedInputPacket,Pass,verified static
SESS-01,Session,Host a session,"As a host, I want to start a shared session","Prompts for folder if none; activates jail; respawns PTYs into root; startHost binds 127.0.0.1 random port; 256-bit key generated; role host, state running",SessionManager.swift startHost; ContentView.swift startSharing; core session.zig initHost,Pass,verified static
SESS-02,Session,Join a session,"As a peer, I want to join by link or host:port",Parses cotty://join?addr=&k= or host:port#k; prompts for local folder; TCP handshake; sends Hello; caches addr for reconnect; placeholder tab,SessionManager.swift joinPeer; ContentView.swift joinFromURL; core session.zig initPeer,Pass,BUG-03; fixed
SESS-03,Session,Share link generation (Cmd+Shift+U),"As a host, I want a shareable link with embedded key",Bore tunnel yields public URL; key base64url-appended as cotty://join?addr=URL&k=key; ShareLink sheet; Cmd+Shift+U,SessionManager.swift; App.swift shareURL; SessionCrypto.swift,Pass,verified static
SESS-04,Session,cotty:// deep link,"As a peer, I want clicking a link to launch and join",URL scheme cotty://join?addr&k parsed at app level; extracts host/port/key; calls joinFromURL; prompts folder,App.swift URL handler; ContentView.swift,Pass,verified static
SESS-05,Session,End-to-end encryption,"As a participant, I want the relay unable to read traffic","Every frame ChaCha20-Poly1305 encrypted with link key; fail-closed (drop, never plaintext); decrypt in drainFrames",SessionManager.swift encryptedWireBytes/drainFrames; SessionCrypto.swift,Pass,"BUG-03,BUG-04; fixed"
SESS-06,Session,Access mode full/view-only,"As a host, I want to control whether peers type",setAccessMode broadcasts accessMode frame; view-only peers' input/shared-input/editor ops gated; persisted in UserDefaults; fresh peers default full until policy received,SessionManager.swift setAccessMode; App.swift picker,Pass,verified static
SESS-07,Session,Request control / grant / deny,"As a view-only peer, I want to request control",sendControlRequest -> host shows Grant/Deny banner; grant flips to full; deny sends controlDenied -> peer notified,SessionManager.swift sendControlRequest/denyControlRequest; ContentView.swift banner,Pass,verified static
SESS-08,Session,Kick peer (host),"As a host, I want to remove a peer",kickPeer sends kick frame then drops TCP; peer shows 'you were removed'; host updates roster + rebroadcasts,SessionManager.swift kickPeer; core session.zig dropPeer,Pass,BUG-05; fixed
SESS-09,Session,Roster / presence,"As a participant, I want to see who's connected",Host authoritative participants keyed by identity; roster frame on join/leave carries identity/role/color/name; deterministic color via hash w/ collision resolve,SessionManager.swift roster; core frame Hello/Roster,Pass,verified static
SESS-10,Session,Persistent display name,"As a user, I want my name remembered across sessions",Read from UserDefaults CoTTY.displayName (fallback NSUserName); persisted on change; shared in Hello + Roster,SessionManager.swift persistName; App.swift name field,Pass,verified static
SESS-11,Session,Auto-reconnect w/ backoff,"As a peer, I want automatic reconnect on drop","Peer-side: preserves identity/key/roster; 1s,2s,4s...30s cap, up to 8 attempts in background Task; resets counter on success; gives up -> disconnected",SessionManager.swift beginReconnect; ContentView.swift onReconnect,Pass,verified static
SESS-12,Session,Late-join catch-up,"As a late peer, I want current screen+scrollback+files",Host sends directed screen snapshot + scrollback history (batched) + fsSnapshot on new roster; peer applies,SessionManager.swift; ContentView.swift encodeTerminalSnapshot/encodeScrollbackHistory; core TermCore.copyScrollback,Pass,verified static
SESS-13,Session,Cursor position broadcast,"As a participant, I want my caret shared",cursorPos/paneCursorPos broadcast; host relays pane cursors to all peers,SessionManager.swift; core frame CursorPos,Pass,verified static
SESS-14,Session,Raw/line mode detection,"As a peer, I want correct UI when host runs a TUI",Host polls isUsingAlternateScreen/isRaw; modeChange frame; peers update remoteMode -> 'Creator only' banner; shared input deactivates,ContentView.swift mode probe; SessionManager.swift; core pty.zig isRaw,Pass,verified static
SESS-15,Session,Heartbeat keepalive,"As a participant, I want idle connections kept alive",15s timer sends heartbeat frame both directions to defeat NAT idle timeout,SessionManager.swift heartbeat,Pass,verified static
SESS-16,Session,Adaptive poll interval,"As a user, I want responsive yet low-CPU sync","Pump interval 16ms active, 33->66ms idle w/ peers, 200ms alone; any drain snaps to 16ms",SessionManager.swift schedulePump,Pass,verified static
SESS-17,Session,Leave / stop sharing,"As a participant, I want to exit the session","Peer 'Leave Session' exits + respawns home PTYs; host 'Stop Sharing' halts SessionManager, deactivates jail, respawns to home, resets shared input",App.swift; ContentView.swift,Pass,verified static
SESS-18,Session,Session status & error UI,"As a participant, I want to see session state",Menu shows hosting port / connected-as-peer / reconnecting N of M / host disconnected / error+reset / tunnel error+retry,App.swift session menu,Pass,verified static
SESS-19,Session,Join/leave notifications,"As a participant, I want toasts for join/leave",Arrivals shown immediately; departures after 6s grace (cancelled if rejoin); reconnect debounced; auto-dismiss ~3s,ContentView.swift diffParticipantsForNotifications,Pass,verified static
SYNC-01,File Sync,One-way file sync host->peers,"As a peer, I want host's project files on my disk","FSSyncWatcher scans root, FSEvents + 750ms poll, sends fsDelta/fsSnapshot; FSSyncApplier creates dirs, atomic writes, deep-first deletes; one-way only",FSSyncWatcher.swift; FSSyncApplier.swift; ContentView.swift,Pass,verified static
SYNC-02,File Sync,Path-traversal/symlink protection,"As a host, I want peers protected from malicious paths","Resolver rejects absolute paths, .., NUL, backslash; standardizes; probes each component for symlinks; ensures stays within root",FSSyncApplier.swift SessionPathResolver; FSSyncWatcher.swift,Pass,verified static
SYNC-03,File Sync,Atomic writes,"As a peer, I want no partial/corrupt synced files",Writes use .atomic (temp + rename); failed write leaves original intact,FSSyncApplier.swift,Pass,verified static
SYNC-04,File Sync,External-edit detection,"As a host, I want local peer edits handled gracefully","managedPaths (persisted JSON) tracks written paths; local deletes win; on snapshot, stale managed paths deleted locally",FSSyncApplier.swift managedPaths,Pass,verified static
SEC-01,Security,Session root jail,"As a host, I want shells confined to the project root",Temp ZDOTDIR wrapper .zshrc sources user rc + chpwd hook snaps PWD back to root; sets ZDOTDIR/CT_SESSION_ROOT; best-effort; deactivate cleans up,SessionRootJail.swift,Pass,verified static
SEC-02,Security,PTY respawn into/out of root,"As a host, I want shells to move into root on share and home on stop",startSharing respawns PTYs outside root into root (marks freshlyRespawned); stop/leave respawns to home; folder change respawns all,ContentView.swift respawnPtysOutsideRoot/respawnAllPtys,Pass,verified static
APP-01,App,Choose project folder (Cmd+Shift+O),"As a host, I want to set the project root",Cmd+Shift+O native folder picker; sets rootPath; respawns PTYs into new root; jail re-activated,App.swift; ContentView.swift pickProjectFolder; FolderPicker.swift,Pass,BUG-23; fixed
APP-02,App,End session (Cmd+Shift+W),"As a user, I want to reset to a fresh session","Cmd+Shift+W terminates all PTYs/panes, clears tabs, stops sharing, resets shared input, opens fresh tab at home",App.swift; ContentView.swift endSession,Pass,BUG-12; fixed
APP-03,App,Clear screen (Cmd+K),"As a user, I want to clear the terminal",Cmd+K sends ESC[2J ESC[H ESC[3J to active grid; broadcasts to peers if hosting,App.swift; ContentView.swift clearScreen,Pass,BUG-09; fixed
APP-04,App,Preferences General (Cmd+,),"As a user, I want general settings","Cmd+, opens prefs; General: display name (persist on commit), core version, tunnel tool+server, diagnostics",App.swift PreferencesView General,Spec'd,
APP-05,App,Preferences Appearance,"As a user, I want appearance settings","Theme swatch grid (built-in+imported), Custom hex inputs, font field w/ validity check, ligatures toggle, Import Theme File",App.swift PreferencesView Appearance,Pass,BUG-21; fixed
APP-06,App,Config.toml hot-reload,"As a power user, I want TOML config applied live",FSEvents watch ~/.config/CoTTY/config.toml; [terminal] font_size/font_name/ligatures/theme/custom_bg/custom_fg; [session] display_name/bore_server; inline # comments stripped,ConfigFile.swift; App.swift apply,Pass,BUG-22; fixed
APP-07,App,Window theme integration,"As a user, I want cohesive window chrome",WindowThemeSetter sets NSWindow bg/appearance/transparent titlebar; reapplies on deminiaturize/exit-fullscreen; native window tabbing disabled; min 800x500,App.swift; ContentView.swift WindowThemeSetter,Pass,verified static
APP-08,App,Tunnel tool detection + retry,"As a host, I want to know/recover the tunnel",Detects ngrok in PATH/Homebrew else bundled bore; shows path + status; Retry Tunnel re-detects and restarts on failure,App.swift; ContentView.swift; core bore.zig,Pass,verified static
APP-09,App,Participant color legend,"As a participant, I want to map colors to people","ParticipantColorLegend lists participants w/ color squares, marks you + host; colors from theme ANSI palette, collision-avoiding, recomputed on theme/roster change",ParticipantColorLegend.swift; ContentView.swift applyThemeParticipantColors,Pass,verified static
APP-10,App,Autoshare diagnostic mode,"As a developer, I want headless share for testing","If env CT_AUTOSHARE=1, fires autoshare notification 500ms after launch -> startSharing",App.swift autoshare,Pass,verified static
CORE-01,Core,PTY spawn/resize/kill,"As the app, I want a real PTY for the shell","forkpty spawn w/ TERM=xterm-256color, COLORTERM=truecolor, non-blocking master, optional cwd; TIOCSWINSZ resize; SIGTERM kill + async reap",core pty.zig; lib.zig ct_pty_*,Pass,BUG-30; fixed
CORE-02,Core,VT/CSI/SGR parser,"As the renderer, I want PTY bytes parsed into screen ops",Byte state machine yields print/execute/csi/osc/esc; params saturate at 65535; CUP/CUU/ED/EL/SGR(16/256/truecolor)/DECSTBM/alt-screen,core vt.zig; grid.zig csi/sgr,Pass,BUG-27; fixed
